id,city,_pivot_event,_time_semester,street,road_type,road_type_recode,install_year,install_type,verify_install_year,verify_install_type,verify_install_comment,verify_upgrade1_year,verify_upgrade1_type,verify_upgrade1_comment,verify_upgrade2_year,verify_upgrade2_type,verify_upgrade2_comment,verify_misclass,no_verify_install_type,geometry_len_km,_pivot_column,_pivot_value,_pivot_year,_pivot_type,verify_date_raw_count,verify_date_type,verify_date,verify_date_start,verify_date_end,verify_date_prepost,verify_date_notes,_time_month,_time_quarter,_time_third,_time_half,_time_year,_time_month_group,_time_quarter_group,_time_third_group,_time_half_group,_time_semester_group,_time_year_group,geometry_wkb
"294759",vancouver,install,,PANDORA ST,Residential,Local,2021,Local Street,2021,LSB,,,,,,,,,Local Street,0.153728428929228,verify_install_date,,2021,LSB,,,,,,,,,,,,2021,,,,,,"2021","LINESTRING (-123.0703 49.28309, -123.0682 49.28306)"
"294763",vancouver,install,,PANDORA ST,Residential,Local,2021,Local Street,2021,LSB,,,,,,,,,Local Street,0.140853877839572,verify_install_date,,2021,LSB,,,,,,,,,,,,2021,,,,,,"2021","LINESTRING (-123.0636 49.28302, -123.0617 49.28302)"
"294767",vancouver,install,,FRANKLIN ST,Residential,Local,2021,Local Street,2021,LSB,,,,,,,,,Local Street,0.107704005732839,verify_install_date,,2021,LSB,,,,,,,,,,,,2021,,,,,,"2021","LINESTRING (-123.0741 49.28223, -123.0726 49.28222)"
"294770",vancouver,install,,PANDORA ST,Residential,Local,2021,Local Street,2021,LSB,,,,,,,,,Local Street,0.050661223736197,verify_install_date,,2021,LSB,,,,,,,,,,,,2021,,,,,,"2021","LINESTRING (-123.0572 49.28299, -123.0565 49.28298)"
"294772",vancouver,install,,PANDORA ST,Residential,Local,2021,Local Street,2021,LSB,,,,,,,,,Local Street,0.140329899680807,verify_install_date,,2021,LSB,,,,,,,,,,,,2021,,,,,,"2021","LINESTRING (-123.0617 49.28302, -123.0597 49.283)"
"294773",vancouver,install,,PANDORA ST,Residential,Local,2021,Local Street,2021,LSB,,,,,,,,,Local Street,0.142205076049303,verify_install_date,,2021,LSB,,,,,,,,,,,,2021,,,,,,"2021","LINESTRING (-123.0565 49.28298, -123.0546 49.28298)"
"294774",vancouver,install,,PANDORA ST,Residential,Local,2021,Local Street,2021,LSB,,,,,,,,,Local Street,0.190551993673585,verify_install_date,,2021,LSB,,,,,,,,,,,,2021,,,,,,"2021","LINESTRING (-123.0546 49.28298, -123.052 49.28298)"
"294778",vancouver,upgrade1,,Yukon,Residential,Local,2009,Protected Bike Lanes,2009,PL,"See painted lane up to 2020, then protected section installed: https://www.google.com/maps/@49.2489072,-123.1128251,3a,75y,288.39h,68.54t/data=!3m7!1e1!3m5!1sHXLHqmaP4IqJD7IGd_nLDg!2e0!5s20220101T000000!7i16384!8i8192 . Painted between April 2009 and Aug",2021,PBL,"likely completed October 2021, see in this video posted by a cyclist in late october, lane markers that are recently painted with temporary markers still visible, denoting recent completion: https://youtu.be/IaYCSIDKwF0?t=27",,,,,,0.0466178974385791,verify_upgrade1_date,Fall 2021,2021,PBL,46,semester,,2021/09/01,2021-12-31,,,,,3,2,2021,,,2021_3,2021_2,,"2021","LINESTRING (-123.1122 49.24893, -123.1128 49.24895)"
"294814",vancouver,install,,Vine,Residential,Local,2013,Local Street,2013,LSB,,,,,,,,,Local Street,0.0507423344734594,verify_install_date,,2013,LSB,,,,,,,,,,,,2013,,,,,,"2013","LINESTRING (-123.1597 49.24173, -123.1596 49.24219)"
"294815",vancouver,install,,Elm,Residential,Local,2013,Local Street,2013,LSB,,,,,,,,,Local Street,0.0961536500705719,verify_install_date,,2013,LSB,,,,,,,,,,,,2013,,,,,,"2013","LINESTRING (-123.1643 49.24418, -123.1644 49.24426, -123.1644 49.24426, -123.1645 49.24437, -123.1645 49.24437, -123.1646 49.24444, -123.1647 49.24446, -123.1647 49.24446, -123.1647 49.24446, -123.1648 49.24455, -123.165 49.24462, -123.1653 49.24473)"
