id,street,street_from,street_to,install_year,verify_install_year,verify_install_year_diff,install_type,verify_install_type,road_type,road_type_recode,verify_install_date,verify_install_comment,verify_upgrade1_year,verify_upgrade1_date,verify_upgrade1_type,verify_upgrade1_comment,verify_upgrade2_year,verify_upgrade2_date,verify_upgrade2_type,verify_upgrade2_comment,verify_misclass,geometry_len_km,clean_install_date_raw_count,clean_install_date_type,clean_install_date,clean_install_date_start,clean_install_date_end,clean_install_date_prepost,clean_install_date_notes,clean_upgrade1_date_raw_count,clean_upgrade1_date_type,clean_upgrade1_date,clean_upgrade1_date_start,clean_upgrade1_date_end,clean_upgrade1_date_prepost,clean_upgrade1_date_notes,clean_upgrade2_date_raw_count,clean_upgrade2_date_type,clean_upgrade2_date,clean_upgrade2_date_start,clean_upgrade2_date_end,clean_upgrade2_date_prepost,clean_upgrade2_date_notes,clean_install_semester,clean_upgrade1_semester,clean_upgrade2_semester,geometry_wkb
"17",Lake Shore Blvd W,Humber Bay Park Rd W,Humber Bay Park East Trl,2001,2015,14,Bike Lane,PL,Major Arterial,Arterial,,"Painted Lane: https://www.google.com/maps/@43.621083,-79.4826483,3a,75y,18.21h,88.06t/data=!3m8!1e1!3m6!1sMJB-vJon4smvO7A8Tb2NNw!2e0!5s20220901T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DMJB-vJon4smvO7A8Tb2NNw%26c",,,,,,,,,,0.236533837415661,,,,,,,,,,,,,,,,,,,,,,,,,"MULTILINESTRING ((-79.48135 43.62279, -79.48197 43.62198, -79.48203 43.62191, -79.48223 43.62157, -79.48248 43.6212, -79.48257 43.62109, -79.48275 43.62093))"
"18",Lake Shore Blvd W,37 M E Fleeceline Rd,Humber Bay Park Rd W,2001,2015,14,Bike Lane,PL,Major Arterial,Arterial,,"Painted Lane: https://www.google.com/maps/@43.6201075,-79.4846658,3a,31.3y,211.17h,85.44t/data=!3m6!1e1!3m4!1sxO8W_BI06yA9H8FYkYAghg!2e0!7i16384!8i8192?entry=ttu",,,,,,,,,,0.225553819968133,,,,,,,,,,,,,,,,,,,,,,,,,"MULTILINESTRING ((-79.48275 43.62093, -79.48293 43.62075, -79.48308 43.62064, -79.48318 43.62056, -79.48323 43.62053, -79.48327 43.62051, -79.48343 43.62042, -79.48384 43.62026, -79.48388 43.62026, -79.48393 43.62024, -79.484 43.62022, -79.48416 43.62019, -79.48426 43.62016, -79.48513 43.61995))"
"19",Lake Shore Blvd W,50.7 M E Louisa St,37 M E Fleeceline Rd,2001,2015,14,Bike Lane,PL,Major Arterial,Arterial,,"Painted Lane: https://www.google.com/maps/@43.6196279,-79.4857963,3a,15y,205.44h,86.9t/data=!3m7!1e1!3m5!1slrn3URS1G-Fez-2ASS3zaA!2e0!5s20150401T000000!7i13312!8i6656?entry=ttu",,,,,,,,,,0.112666416362141,,,,,,,,,,,,,,,,,,,,,,,,,"MULTILINESTRING ((-79.48513 43.61995, -79.48528 43.61991, -79.48542 43.61987, -79.48555 43.61982, -79.48567 43.61977, -79.48578 43.61971, -79.48588 43.61964, -79.48592 43.6196, -79.48596 43.61957, -79.48604 43.6195, -79.48611 43.61943, -79.48619 43.61934))"
"38",Queens Quay W,Martin Goodman Trl,Bathurst St,2001,2009,8,Bi-Directional Cycle Track,PL,Collector,Collector,Pre-2009,"PL installed pre-2009: https://www.google.com/maps/@43.63534,-79.3990609,3a,15y,225.88h,84.26t/data=!3m7!1e1!3m5!1sJ338-CmunvB2s-k6txkoLw!2e0!5s20090601T000000!7i13312!8i6656?entry=ttu",2015,April-Sept 2015,PBL,"PBL upgrade April - Sept 2015: https://www.google.com/maps/@43.6353629,-79.3989952,3a,75y,198.7h,75.12t/data=!3m7!1e1!3m5!1sC257_w9mzx1B9p4M8lMhnw!2e0!5s20150901T000000!7i13312!8i6656?entry=ttu",,,,,,0.225024642589988,209,pre_year,,,,"2009",,1,range,,2015/04/01,2015-09-30,,,,,,,,,,,,,"MULTILINESTRING ((-79.40061 43.63446, -79.39972 43.63495, -79.3992 43.63524, -79.39912 43.63528, -79.39874 43.63548, -79.39837 43.63568))"
"39",Davenport Rd,Cottingham Rd,Macpherson Ave,2001,2007,6,Bike Lane,PL,Minor Arterial,Arterial,Pre-2007,"Pre 2007: https://www.google.com/maps/@43.6770247,-79.4040806,3a,75y,310.25h,80.44t/data=!3m7!1e1!3m5!1s0KrfdmVrlUaFf0m53QLkqg!2e0!5s20070901T000000!7i3328!8i1664?entry=ttu",2016,,PL,K- no changes since.,,,,,,0.179234349279432,91,pre_year,,,,"2007",,,,,,,,,,,,,,,,,,,"MULTILINESTRING ((-79.40369 43.67668, -79.40478 43.67756, -79.40495 43.67767, -79.40507 43.67774, -79.40525 43.67782))"
"40",Elizabeth St,College St,Gerrard St W,2001,2007,6,Bike Lane,PL,Collector,Collector,pre Sep 2007,"PL pre 2007: SV (https://www.google.com/maps/@43.6590912,-79.3867923,3a,75y,188.22h,75.73t/data=!3m7!1e1!3m5!1swPgZ-4pECz8BtPGmZypapg!2e0!5s20070901T000000!7i3328!8i1664?entry=ttu), no changes since.",2016,,PL,,,,,,,0.272685837675215,21,pre_month,,,,2007-09,,,,,,,,,,,,,,,,,,,"MULTILINESTRING ((-79.38642 43.65817, -79.38743 43.66051))"
"41",Gerrard St E,Yonge St,Church St,2001,2007,6,Cycle Track,PL,Minor Arterial,Arterial,pre Sep 2007,"Sep 2007 SV: https://www.google.com/maps/@43.6598749,-79.3785605,3a,48.8y,254.66h,88.15t/data=!3m7!1e1!3m5!1sxjtGBvbrgBUQuOOZc2gEnw!2e0!5s20070901T000000!7i3328!8i1664?entry=ttu",2017,Oct 2016 - Mar 2017,PBL,"Aug 2017 SV: https://www.google.com/maps/@43.6591769,-79.3814749,3a,75y,67.93h,85.83t/data=!3m7!1e1!3m5!1s_bREbvRxkksltpbzRZaFbg!2e0!5s20170801T000000!7i13312!8i6656?entry=ttu",,,,,,0.300393681248329,21,pre_month,,,,2007-09,,3,range,,2016/10/01,2017-03-31,,,,,,,,,,,2,,"MULTILINESTRING ((-79.38212 43.6591, -79.38146 43.65922, -79.38139 43.65924, -79.38088 43.65935, -79.38084 43.65936, -79.37854 43.65986))"
"42",Macpherson Ave,Davenport Rd,Poplar Plains Rd,2001,2007,6,Bike Lane,PL,Collector,Collector,pre Sep 2007,"Sep 2007 road signage SV: https://www.google.ca/maps/@43.6768119,-79.4030195,3a,68.4y,223.41h,75.29t/data=!3m7!1e1!3m5!1sVPgCXa6EUs9XPJXGZ42FaQ!2e0!5s20070901T000000!7i3328!8i1664?entry=ttu",,,,"No infrastructure type upgrade, PL was improved with extended lines (Jun2013-May2014) and green paint around curbs (May2016-Aug2017)",,,,,,0.0594957332596035,21,pre_month,,,,2007-09,,,,,,,,,,,,,,,,,,,"MULTILINESTRING ((-79.40298 43.67684, -79.40369 43.67668))"
"43",Lake Shore Blvd W,Marine Parade Dr,Palace Pier Crt,2001,2016,15,Bike Lane,PL,Major Arterial,Arterial,May-Nov 2016,"PL installed between May 2016 and Jul 2017: https://www.google.com/maps/@43.6312765,-79.4755769,3a,74.2y,254.69h,75.11t/data=!3m7!1e1!3m5!1sOefku060PZkmjXyvFMRa6Q!2e0!5s20170701T000000!7i13312!8i6656?entry=ttu. No upgrades since. Likely May - Nov based o",,,,,,,,,,0.157697515776334,1,range,,2016/05/01,2016-08-31,,,,,,,,,,,,,,,,,1,,,"MULTILINESTRING ((-79.47554 43.63126, -79.47568 43.63108, -79.47578 43.63098, -79.47596 43.63086, -79.47613 43.63077, -79.47644 43.6306, -79.47651 43.63054, -79.47688 43.6303, -79.47691 43.63027))"
"44",Lake Shore Blvd W,157.4 M S/W Marine Parade Dr,Marine Parade Dr,2001,2016,15,Bike Lane,PL,Major Arterial,Arterial,May -Nov 2016,"Designated PL between May and Nov 2016: https://www.google.com/maps/@43.6299386,-79.4772999,3a,64.7y,351h,78.04t/data=!3m7!1e1!3m5!1sTv3TdTe5MQojYJXHEmJGwg!2e0!5s20160501T000000!7i13312!8i6656?entry=ttu, no upgrades since",,,,,,,,,,0.157349237764472,1,range,,2016/05/01,2016-11-30,,,,,,,,,,,,,,,,,,,,"MULTILINESTRING ((-79.47691 43.63027, -79.47712 43.63011, -79.47732 43.62993, -79.47755 43.62974, -79.47773 43.62953, -79.47806 43.62923, -79.47812 43.62916))"
