id,street,street_from,street_to,verify_upgrade2_year,verify_upgrade2_date,verify_upgrade2_type,verify_upgrade2_comment,clean_upgrade2_date_start,clean_upgrade2_date_end,clean_upgrade2_quarter,clean_upgrade2_date_raw_count,clean_upgrade2_date_type,clean_upgrade2_date,clean_upgrade2_date_prepost,clean_upgrade2_date_notes,geometry_wkb
"486",Harbord St,Ossignton Ave,St. George St,2021,,PBL,"Upgraded to PBL, request sent Nov 2020, to be completed within first 2 quarters of 2021: https://secure.toronto.ca/council/agenda-item.do?item=2020.IE17.4",,,,,,,,,"MULTILINESTRING ((-79.39844 43.66411, -79.39874 43.66389, -79.39897 43.66376, -79.39904 43.66368, -79.40009 43.6635, -79.40063 43.66338, -79.40128 43.66324, -79.40211 43.66305, -79.40273 43.66294, -79.4029 43.6629, -79.40308 43.66286, -79.40387 43.6627, -79.40482 43.66249, -79.4054 43.66238, -79.40604 43.66226, -79.40662 43.66214, -79.40722 43.66202, -79.40771 43.66191, -79.40785 43.66189, -79.40854 43.66176, -79.40916 43.66164, -79.40977 43.66151, -79.41037 43.66139, -79.41098 43.66127, -79.41159 43.66114, -79.41222 43.66102, -79.41284 43.66089, -79.41344 43.66076, -79.41401 43.66065, -79.41403 43.66065, -79.41407 43.66064, -79.41467 43.66053, -79.41525 43.66041, -79.41586 43.66028, -79.41643 43.66016, -79.4169 43.66006, -79.41751 43.65993, -79.41806 43.65983, -79.41897 43.65964, -79.41901 43.65964, -79.41958 43.65952, -79.42012 43.6594, -79.42068 43.65928, -79.42127 43.65916, -79.42131 43.65915, -79.42188 43.65904, -79.42247 43.65892, -79.42251 43.65891, -79.42309 43.6588, -79.42368 43.65868, -79.42432 43.65855))"
"1133",Hoskin Ave,St George St,Queens Park Cres W,2020,,PBL,completed 2020: https://www.cycleto.ca/month-activeto,,,,,,,,,"MULTILINESTRING ((-79.39844 43.66411, -79.39696 43.66444, -79.39603 43.66463, -79.39574 43.66469, -79.3957 43.6647, -79.39422 43.665, -79.3939 43.66502))"
"1209",Runnymede Rd,Ryding Ave,Maria St,2020,Fall 2020,PBL,See UPGR comments.,2020/09/01,2020-12-31,,52,semester,,,,"MULTILINESTRING ((-79.48242 43.66633, -79.48242 43.66633, -79.48263 43.66683, -79.48272 43.66704, -79.48276 43.66714, -79.48283 43.66732, -79.48288 43.66743, -79.48309 43.66793, -79.48309 43.66794))"
"486",Harbord St,Ossignton Ave,St. George St,"2021",,PBL,"Upgraded to PBL, request sent Nov 2020, to be completed within first 2 quarters of 2021: https://secure.toronto.ca/council/agenda-item.do?item=2020.IE17.4",,,,,,,,,"MULTILINESTRING ((-79.39844 43.66411, -79.39874 43.66389, -79.39897 43.66376, -79.39904 43.66368, -79.40009 43.6635, -79.40063 43.66338, -79.40128 43.66324, -79.40211 43.66305, -79.40273 43.66294, -79.4029 43.6629, -79.40308 43.66286, -79.40387 43.6627, -79.40482 43.66249, -79.4054 43.66238, -79.40604 43.66226, -79.40662 43.66214, -79.40722 43.66202, -79.40771 43.66191, -79.40785 43.66189, -79.40854 43.66176, -79.40916 43.66164, -79.40977 43.66151, -79.41037 43.66139, -79.41098 43.66127, -79.41159 43.66114, -79.41222 43.66102, -79.41284 43.66089, -79.41344 43.66076, -79.41401 43.66065, -79.41403 43.66065, -79.41407 43.66064, -79.41467 43.66053, -79.41525 43.66041, -79.41586 43.66028, -79.41643 43.66016, -79.4169 43.66006, -79.41751 43.65993, -79.41806 43.65983, -79.41897 43.65964, -79.41901 43.65964, -79.41958 43.65952, -79.42012 43.6594, -79.42068 43.65928, -79.42127 43.65916, -79.42131 43.65915, -79.42188 43.65904, -79.42247 43.65892, -79.42251 43.65891, -79.42309 43.6588, -79.42368 43.65868, -79.42432 43.65855))"
"1133",Hoskin Ave,St George St,Queens Park Cres W,"2020",,PBL,completed 2020: https://www.cycleto.ca/month-activeto,,,,,,,,,"MULTILINESTRING ((-79.39844 43.66411, -79.39696 43.66444, -79.39603 43.66463, -79.39574 43.66469, -79.3957 43.6647, -79.39422 43.665, -79.3939 43.66502))"
"1209",Runnymede Rd,Ryding Ave,Maria St,"2020",Fall 2020,PBL,See UPGR comments.,2020/09/01 00:00:00,2020-12-31,,"52",semester,,,,"MULTILINESTRING ((-79.48242 43.66633, -79.48242 43.66633, -79.48263 43.66683, -79.48272 43.66704, -79.48276 43.66714, -79.48283 43.66732, -79.48288 43.66743, -79.48309 43.66793, -79.48309 43.66794))"
"486",Harbord St,Ossignton Ave,St. George St,"2021",,PBL,"Upgraded to PBL, request sent Nov 2020, to be completed within first 2 quarters of 2021: https://secure.toronto.ca/council/agenda-item.do?item=2020.IE17.4",,,,,,,,,"MULTILINESTRING ((-79.39844 43.66411, -79.39874 43.66389, -79.39897 43.66376, -79.39904 43.66368, -79.40009 43.6635, -79.40063 43.66338, -79.40128 43.66324, -79.40211 43.66305, -79.40273 43.66294, -79.4029 43.6629, -79.40308 43.66286, -79.40387 43.6627, -79.40482 43.66249, -79.4054 43.66238, -79.40604 43.66226, -79.40662 43.66214, -79.40722 43.66202, -79.40771 43.66191, -79.40785 43.66189, -79.40854 43.66176, -79.40916 43.66164, -79.40977 43.66151, -79.41037 43.66139, -79.41098 43.66127, -79.41159 43.66114, -79.41222 43.66102, -79.41284 43.66089, -79.41344 43.66076, -79.41401 43.66065, -79.41403 43.66065, -79.41407 43.66064, -79.41467 43.66053, -79.41525 43.66041, -79.41586 43.66028, -79.41643 43.66016, -79.4169 43.66006, -79.41751 43.65993, -79.41806 43.65983, -79.41897 43.65964, -79.41901 43.65964, -79.41958 43.65952, -79.42012 43.6594, -79.42068 43.65928, -79.42127 43.65916, -79.42131 43.65915, -79.42188 43.65904, -79.42247 43.65892, -79.42251 43.65891, -79.42309 43.6588, -79.42368 43.65868, -79.42432 43.65855))"
"1133",Hoskin Ave,St George St,Queens Park Cres W,"2020",,PBL,completed 2020: https://www.cycleto.ca/month-activeto,,,,,,,,,"MULTILINESTRING ((-79.39844 43.66411, -79.39696 43.66444, -79.39603 43.66463, -79.39574 43.66469, -79.3957 43.6647, -79.39422 43.665, -79.3939 43.66502))"
"1209",Runnymede Rd,Ryding Ave,Maria St,"2020",Fall 2020,PBL,See UPGR comments.,2020/09/01 00:00:00,2020-12-31,,"52",semester,,,,"MULTILINESTRING ((-79.48242 43.66633, -79.48242 43.66633, -79.48263 43.66683, -79.48272 43.66704, -79.48276 43.66714, -79.48283 43.66732, -79.48288 43.66743, -79.48309 43.66793, -79.48309 43.66794))"
"486",Harbord St,Ossignton Ave,St. George St,"2021",,PBL,"Upgraded to PBL, request sent Nov 2020, to be completed within first 2 quarters of 2021: https://secure.toronto.ca/council/agenda-item.do?item=2020.IE17.4",,,,,,,,,"MULTILINESTRING ((-79.39844 43.66411, -79.39874 43.66389, -79.39897 43.66376, -79.39904 43.66368, -79.40009 43.6635, -79.40063 43.66338, -79.40128 43.66324, -79.40211 43.66305, -79.40273 43.66294, -79.4029 43.6629, -79.40308 43.66286, -79.40387 43.6627, -79.40482 43.66249, -79.4054 43.66238, -79.40604 43.66226, -79.40662 43.66214, -79.40722 43.66202, -79.40771 43.66191, -79.40785 43.66189, -79.40854 43.66176, -79.40916 43.66164, -79.40977 43.66151, -79.41037 43.66139, -79.41098 43.66127, -79.41159 43.66114, -79.41222 43.66102, -79.41284 43.66089, -79.41344 43.66076, -79.41401 43.66065, -79.41403 43.66065, -79.41407 43.66064, -79.41467 43.66053, -79.41525 43.66041, -79.41586 43.66028, -79.41643 43.66016, -79.4169 43.66006, -79.41751 43.65993, -79.41806 43.65983, -79.41897 43.65964, -79.41901 43.65964, -79.41958 43.65952, -79.42012 43.6594, -79.42068 43.65928, -79.42127 43.65916, -79.42131 43.65915, -79.42188 43.65904, -79.42247 43.65892, -79.42251 43.65891, -79.42309 43.6588, -79.42368 43.65868, -79.42432 43.65855))"
"1133",Hoskin Ave,St George St,Queens Park Cres W,"2020",,PBL,completed 2020: https://www.cycleto.ca/month-activeto,,,,,,,,,"MULTILINESTRING ((-79.39844 43.66411, -79.39696 43.66444, -79.39603 43.66463, -79.39574 43.66469, -79.3957 43.6647, -79.39422 43.665, -79.3939 43.66502))"
"1209",Runnymede Rd,Ryding Ave,Maria St,"2020",Fall 2020,PBL,See UPGR comments.,2020/09/01 00:00:00,2020-12-31,,"52",semester,,,,"MULTILINESTRING ((-79.48242 43.66633, -79.48242 43.66633, -79.48263 43.66683, -79.48272 43.66704, -79.48276 43.66714, -79.48283 43.66732, -79.48288 43.66743, -79.48309 43.66793, -79.48309 43.66794))"
"486",Harbord St,Ossignton Ave,St. George St,"2021",,PBL,"Upgraded to PBL, request sent Nov 2020, to be completed within first 2 quarters of 2021: https://secure.toronto.ca/council/agenda-item.do?item=2020.IE17.4",,,,,,,,,"MULTILINESTRING ((-79.39844 43.66411, -79.39874 43.66389, -79.39897 43.66376, -79.39904 43.66368, -79.40009 43.6635, -79.40063 43.66338, -79.40128 43.66324, -79.40211 43.66305, -79.40273 43.66294, -79.4029 43.6629, -79.40308 43.66286, -79.40387 43.6627, -79.40482 43.66249, -79.4054 43.66238, -79.40604 43.66226, -79.40662 43.66214, -79.40722 43.66202, -79.40771 43.66191, -79.40785 43.66189, -79.40854 43.66176, -79.40916 43.66164, -79.40977 43.66151, -79.41037 43.66139, -79.41098 43.66127, -79.41159 43.66114, -79.41222 43.66102, -79.41284 43.66089, -79.41344 43.66076, -79.41401 43.66065, -79.41403 43.66065, -79.41407 43.66064, -79.41467 43.66053, -79.41525 43.66041, -79.41586 43.66028, -79.41643 43.66016, -79.4169 43.66006, -79.41751 43.65993, -79.41806 43.65983, -79.41897 43.65964, -79.41901 43.65964, -79.41958 43.65952, -79.42012 43.6594, -79.42068 43.65928, -79.42127 43.65916, -79.42131 43.65915, -79.42188 43.65904, -79.42247 43.65892, -79.42251 43.65891, -79.42309 43.6588, -79.42368 43.65868, -79.42432 43.65855))"
"1133",Hoskin Ave,St George St,Queens Park Cres W,"2020",,PBL,completed 2020: https://www.cycleto.ca/month-activeto,,,,,,,,,"MULTILINESTRING ((-79.39844 43.66411, -79.39696 43.66444, -79.39603 43.66463, -79.39574 43.66469, -79.3957 43.6647, -79.39422 43.665, -79.3939 43.66502))"
"1209",Runnymede Rd,Ryding Ave,Maria St,"2020",Fall 2020,PBL,See UPGR comments.,2020/09/01 00:00:00,2020-12-31,,"52",semester,,,,"MULTILINESTRING ((-79.48242 43.66633, -79.48242 43.66633, -79.48263 43.66683, -79.48272 43.66704, -79.48276 43.66714, -79.48283 43.66732, -79.48288 43.66743, -79.48309 43.66793, -79.48309 43.66794))"
"486",Harbord St,Ossignton Ave,St. George St,"2021",,PBL,"Upgraded to PBL, request sent Nov 2020, to be completed within first 2 quarters of 2021: https://secure.toronto.ca/council/agenda-item.do?item=2020.IE17.4",,,,,,,,,"MULTILINESTRING ((-79.39844 43.66411, -79.39874 43.66389, -79.39897 43.66376, -79.39904 43.66368, -79.40009 43.6635, -79.40063 43.66338, -79.40128 43.66324, -79.40211 43.66305, -79.40273 43.66294, -79.4029 43.6629, -79.40308 43.66286, -79.40387 43.6627, -79.40482 43.66249, -79.4054 43.66238, -79.40604 43.66226, -79.40662 43.66214, -79.40722 43.66202, -79.40771 43.66191, -79.40785 43.66189, -79.40854 43.66176, -79.40916 43.66164, -79.40977 43.66151, -79.41037 43.66139, -79.41098 43.66127, -79.41159 43.66114, -79.41222 43.66102, -79.41284 43.66089, -79.41344 43.66076, -79.41401 43.66065, -79.41403 43.66065, -79.41407 43.66064, -79.41467 43.66053, -79.41525 43.66041, -79.41586 43.66028, -79.41643 43.66016, -79.4169 43.66006, -79.41751 43.65993, -79.41806 43.65983, -79.41897 43.65964, -79.41901 43.65964, -79.41958 43.65952, -79.42012 43.6594, -79.42068 43.65928, -79.42127 43.65916, -79.42131 43.65915, -79.42188 43.65904, -79.42247 43.65892, -79.42251 43.65891, -79.42309 43.6588, -79.42368 43.65868, -79.42432 43.65855))"
"1133",Hoskin Ave,St George St,Queens Park Cres W,"2020",,PBL,completed 2020: https://www.cycleto.ca/month-activeto,,,,,,,,,"MULTILINESTRING ((-79.39844 43.66411, -79.39696 43.66444, -79.39603 43.66463, -79.39574 43.66469, -79.3957 43.6647, -79.39422 43.665, -79.3939 43.66502))"
"1209",Runnymede Rd,Ryding Ave,Maria St,"2020",Fall 2020,PBL,See UPGR comments.,2020/09/01 00:00:00,2020-12-31,,"52",semester,,,,"MULTILINESTRING ((-79.48242 43.66633, -79.48242 43.66633, -79.48263 43.66683, -79.48272 43.66704, -79.48276 43.66714, -79.48283 43.66732, -79.48288 43.66743, -79.48309 43.66793, -79.48309 43.66794))"
"486",Harbord St,Ossignton Ave,St. George St,"2021",,PBL,"Upgraded to PBL, request sent Nov 2020, to be completed within first 2 quarters of 2021: https://secure.toronto.ca/council/agenda-item.do?item=2020.IE17.4",,,,,,,,,"MULTILINESTRING ((-79.39844 43.66411, -79.39874 43.66389, -79.39897 43.66376, -79.39904 43.66368, -79.40009 43.6635, -79.40063 43.66338, -79.40128 43.66324, -79.40211 43.66305, -79.40273 43.66294, -79.4029 43.6629, -79.40308 43.66286, -79.40387 43.6627, -79.40482 43.66249, -79.4054 43.66238, -79.40604 43.66226, -79.40662 43.66214, -79.40722 43.66202, -79.40771 43.66191, -79.40785 43.66189, -79.40854 43.66176, -79.40916 43.66164, -79.40977 43.66151, -79.41037 43.66139, -79.41098 43.66127, -79.41159 43.66114, -79.41222 43.66102, -79.41284 43.66089, -79.41344 43.66076, -79.41401 43.66065, -79.41403 43.66065, -79.41407 43.66064, -79.41467 43.66053, -79.41525 43.66041, -79.41586 43.66028, -79.41643 43.66016, -79.4169 43.66006, -79.41751 43.65993, -79.41806 43.65983, -79.41897 43.65964, -79.41901 43.65964, -79.41958 43.65952, -79.42012 43.6594, -79.42068 43.65928, -79.42127 43.65916, -79.42131 43.65915, -79.42188 43.65904, -79.42247 43.65892, -79.42251 43.65891, -79.42309 43.6588, -79.42368 43.65868, -79.42432 43.65855))"
"1133",Hoskin Ave,St George St,Queens Park Cres W,"2020",,PBL,completed 2020: https://www.cycleto.ca/month-activeto,,,,,,,,,"MULTILINESTRING ((-79.39844 43.66411, -79.39696 43.66444, -79.39603 43.66463, -79.39574 43.66469, -79.3957 43.6647, -79.39422 43.665, -79.3939 43.66502))"
"1209",Runnymede Rd,Ryding Ave,Maria St,"2020",Fall 2020,PBL,See UPGR comments.,2020/09/01 00:00:00,2020-12-31,,"52",semester,,,,"MULTILINESTRING ((-79.48242 43.66633, -79.48242 43.66633, -79.48263 43.66683, -79.48272 43.66704, -79.48276 43.66714, -79.48283 43.66732, -79.48288 43.66743, -79.48309 43.66793, -79.48309 43.66794))"
