verify_date_raw,verify_date_raw_count,verify_date_type,verify_date,verify_date_start,verify_date_end,verify_date_prepost,verify_date_notes
Pre-2009,209,pre_year,,,,2009,
Pre-2007,91,pre_year,,,,2007,
May-Oct 2012,57,range,,2012-05-01,2012-10-31,,
17-Oct,52,month,,2017-10-01,2017-10-31,,
Fall 2020,52,semester,,2020-09-01,2020-12-31,,
Fall 2021,46,semester,,2021-09-01,2021-12-31,,
May-Dec 2018,34,range,,2018-05-01,2018-12-31,,
July-Sept 2014,32,quarter,,2014-07-01,2014-09-30,,
Summer 2018,22,semester,,2018-07-01,2018-08-31,,
Jan-Feb 2020,21,range,,2020-01-01,2020-02-29,,
pre Sep 2007,21,pre_month,,,,2007-09,
10-Jun,20,month,,2010-06-01,2010-06-30,,
"June, 2006",20,month,,2006-06-01,2006-6-30,,
15-Aug,19,month,,2015-08-01,2015-08-31,,
Sept - Oct 2017,19,range,,2017-09-01,2017-10-31,,
April-Aug 2009,18,range,,2009-04-01,2009-08-31,,
Seperated Jan 2011,18,month,,2011-01-01,2011-01-31,,"""Seperated"" unclear, treated as month"
Aug-Oct 2014,17,range,,2014-08-01,2014-10-31,,
15-Jun,16,month,,2015-06-01,2015-06-30,,
Summer 2021,16,semester,,2021-07-01,2021-08-31,,
pre-2007,15,pre_year,,,,2007,
13-Sep,14,month,,2013-09-01,2013-09-30,,
21-Apr,14,month,,2021-04-01,2021-04-30,,
43040,14,,,,,,Likely not a date
Sept-Oct 2017,59,range,,2017-09-01,2017-10-31,,Some previously had no year
Fall 2019,13,semester,,2019-09-01,2019-12-31,,
Likely 2009,13,year,,2009-01-01,2009-12-31,,Assume year 2009
Summer 2013,13,semester,,2013-07-01,2013-08-31,,
2006/Pre-2007,12,pre_year,,,,2007,
Around June 2007,12,month,,2007-06-01,2007-06-30,,Assume June 2007
July-Dec 2013,12,range,,2013-07-01,2013-12-31,,
June-August 2016,12,range,,2016-06-01,2016-08-31,,
Oct-Nov 2016,12,range,,2016-10-01,2016-11-30,,
19-Sep,11,month,,2019-09-01,2019-09-30,,
20-Dec,10,month,,2020-12-01,2020-12-31,,
5-Aug-18,10,day,2018-08-05,,,,
May/June 2016,10,semester,,2016-05-01,2016-06-30,,
16-Aug,9,month,,2016-08-01,2016-08-31,,
20-Jan,9,month,,2020-01-01,2020-01-31,,
42156,9,,,,,,Likely not a date
44105,9,,,,,,Likely not a date
44166,9,,,,,,Likely not a date
Aug-Sept 2009,9,range,,2009-08-01,2009-08-31,,
May-Sept 2016,9,range,,2016-05-01,2016-09-30,,
14-Jul,8,month,,2014-07-01,2014-07-31,,
20-Oct,8,month,,2020-10-01,2020-10-31,,
22-Jan,8,month,,2022-01-01,2022-01-31,,
April-Sept 2012,8,range,,2012-04-01,2012-09-30,,
July-October 2018,8,range,,2018-07-01,2017-10-31,,
Sept-October 2014,8,range,,2014-09-01,2014-10-31,,
13-Apr,7,month,,2013-04-01,2013-04-30,,
